SG,CA,RC,EG,
1,,,,
,,1,,
,1,1,1,
,1,,,
1,,1,,
,1,,,
,,1,,
,1,,1,
1,1,,1,
,1,,,
1,1,1,,
1,,1,,
,,1,,
,,1,,
,1,,,
,1,1,1,
,1,1,,
,,1,,
,1,1,,
,,1,,
,,,1,
1,,1,,
,,1,1,
,1,1,1,
1,,,1,
,,1,,
1,1,,,
1,1,,1,
,1,1,,
,1,1,1,
,,1,,
,1,1,,
1,,,1,
,1,,,
1,,,1,
,1,1,,
1,,,,
1,,,1,
1,,,,
,,1,,
,,1,,
1,,,1,
1,,,,
1,,,,
1,,1,,
,,,1,
,,,1,
,,,1,
,,,1,
1,,1,,
1,,1,,
1,1,1,,
1,,,1,
1,,,1,
1,1,1,,
1,1,,1,
1,,1,,
1,,1,1,
1,1,1,,
,1,,,
,1,1,,
,1,,1,
,1,1,,
,1,1,,
,1,1,,
,1,1,1,
1,,1,,
,1,,1,
,1,1,,
,1,1,,
,,1,1,
,,1,,
,1,1,1,
,1,1,,
,1,,,
1,,,,
1,,,,
,1,,,
,1,1,,
,1,1,,
,,,1,
,,,1,
,,,1,
1,,,1,
,,,1,
,,1,,
,1,1,1,
,1,,1,
,,,1,
,1,1,1,
,1,1,,
,1,1,,
,1,1,,
,,,1,
,1,1,,
,1,1,,
1,1,1,,
1,1,1,,
,1,,,
1,1,1,,
,1,1,,
1,1,1,,
1,1,,,
1,1,1,,
1,1,,,
1,1,,1,
1,,1,,
1,1,,,
1,1,,,
1,1,,,
,1,1,,
,,1,1,
1,1,1,,
,,1,1,
1,,1,1,
1,1,,,
1,,,,
,1,,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,,1,,
,1,1,,
,1,,,
